No.,Service,Service Outcome,Speed of Service,Processing & Instruction,Staff Professionalism & Courtesy,Suggestions,Date submitted,Time Submitted
1,Classroom Technical Assistance,3,3,3,3,"The team at Classroom Technical Assistance was polite, but the process felt slow. Clearer guidance upfront could help. Clear signage about required documents could speed things up.",5/30/2025,0:03:19
2,Face-To-Face inquiry assistance,5,5,5,5,clear enough,5/30/2025,0:03:30
3,Online Inquiry Assistance,5,5,5,5,fast and easy,5/30/2025,0:04:35
4,Face-To-Face inquiry assistance,5,5,5,5,Ang bilis at bait ng staff. Solid!,5/30/2025,0:04:46
5,Face-To-Face inquiry assistance,5,5,5,5,Thank you for the quick and friendly help at Face-To-Face inquiry assistance. Everything was clear and efficient. A short FAQ or checklist at the counter would reduce confusion,5/30/2025,0:07:30
6,Face-To-Face inquiry assistance,5,5,5,5,,5/30/2025,0:10:13
7,Classroom Technical Assistance,5,5,5,5,Thank you for the quick and friendly help at Classroom Technical Assistance. Everything was clear and efficient. Adding a quick self-service guide for common requests would help.,5/30/2025,0:13:59
8,Face-To-Face inquiry assistance,2,2,2,2,Unsatisfactory visit to Face-To-Face inquiry assistance. Consider setting expectations on wait times and providing step-by-step guidance. Extended hours during peak periods could reduce congestion,5/30/2025,0:16:52
9,Classroom Technical Assistance,3,3,3,3,,5/30/2025,0:18:26
10,Classroom Technical Assistance,5,5,5,5,I appreciated how seamless Classroom Technical Assistance was. Instructions were easy to follow and I was in and out fast,5/30/2025,0:23:31
11,Online Inquiry Assistance,5,5,5,5,,5/30/2025,0:23:49
12,Online Inquiry Assistance,5,5,5,5,it was okay,5/30/2025,0:23:54
13,Classroom Technical Assistance,3,3,4,4,No,5/30/2025,0:24:34
14,Face-To-Face inquiry assistance,3,3,4,4,No,5/30/2025,0:25:14
15,Face-To-Face inquiry assistance,5,4,3,2,confusing a bit,5/30/2025,0:29:12
16,Face-To-Face inquiry assistance,5,5,5,5,"Ayos na ayos, walang hassle.",5/30/2025,0:30:57
17,Classroom Technical Assistance,4,4,4,4,No,5/30/2025,0:34:32
18,Online Inquiry Assistance,4,4,4,4,No,5/30/2025,0:34:43
19,Face-To-Face inquiry assistance,4,4,4,4,No,5/30/2025,0:34:51
20,Online Inquiry Assistance,5,5,5,5,Thank you for the quick and friendly help at Online Inquiry Assistance. Everything was clear and efficient. Clear signage about required documents could speed things up.,5/30/2025,0:36:03
21,Face-To-Face inquiry assistance,5,5,5,5,confusing a bit,5/30/2025,0:36:20
22,Online Inquiry Assistance,4,4,4,4,"Okay naman, sana mas maikli ang pila",5/30/2025,0:44:37
23,Face-To-Face inquiry assistance,4,4,4,4,Good overall experience with Face-To-Face inquiry assistance. Shorter wait times would make it even better. Adding a quick self-service guide for common requests would help.,5/30/2025,0:44:57
24,Classroom Technical Assistance,4,4,4,4,Service at Classroom Technical Assistance was courteous. Consider simplifying the instructions to reduce back-and-forth. Adding a quick self-service guide for common requests would help,5/30/2025,0:45:32
25,Online Inquiry Assistance,4,4,4,4,,5/30/2025,0:46:34
26,Face-To-Face inquiry assistance,4,4,4,4,more updates please,5/30/2025,0:47:25
27,Online Inquiry Assistance,5,5,5,5,good service,5/30/2025,0:48:45
28,Online Inquiry Assistance,4,4,4,4,"Positive interaction at Online Inquiry Assistance. If possible, provide status updates during busy periods. Adding a quick self-service guide for common requests would help.",5/30/2025,0:52:50
29,Face-To-Face inquiry assistance,4,4,4,4,Service at Face-To-Face inquiry assistance was courteous. Consider simplifying the instructions to reduce back-and-forth. Clear signage about required documents could speed things up.,5/30/2025,0:53:09
30,Classroom Technical Assistance,5,5,5,5,needs improvement,5/30/2025,0:53:39
31,Face-To-Face inquiry assistance,5,5,5,5,fast and easy,5/30/2025,0:57:33
32,Classroom Technical Assistance,2,2,2,2,helpful staff,5/30/2025,1:03:25
33,Online Inquiry Assistance,5,5,4,4,needs improvement,5/30/2025,1:03:58
34,Face-To-Face inquiry assistance,4,4,4,4,helpful staff,5/30/2025,1:06:33
35,Face-To-Face inquiry assistance,2,2,3,3,Experience at Face-To-Face inquiry assistance could improve with shorter queues and more detailed instructions.,5/30/2025,1:09:51
36,Online Inquiry Assistance,2,2,2,2,Di malinaw yung steps. Sana step-by-step na lang,5/30/2025,1:15:47
37,Classroom Technical Assistance,2,2,2,2,.,5/30/2025,1:16:04
38,Face-To-Face inquiry assistance,2,3,2,2,Sobrang tagal at nakakalito. Paki-ayos po.,5/30/2025,1:20:02
39,Face-To-Face inquiry assistance,5,5,5,5,Great experience with Face-To-Face inquiry assistance. The staff were courteous and the process was smooth from start to finish.,5/30/2025,1:21:05
40,Online Inquiry Assistance,3,3,4,4,"Goods na, konting updates lang sa status sana.",5/30/2025,1:26:39
41,Face-To-Face inquiry assistance,5,5,5,5,Smooth ang process. Thank you po!,5/30/2025,1:44:46
42,Classroom Technical Assistance,5,5,5,5,"Ayos na ayos, walang hassle.",5/30/2025,1:46:18
43,Classroom Technical Assistance,2,2,2,3,Experience at Classroom Technical Assistance needs attention. Delays and limited guidance made it difficult to complete my request.,5/30/2025,1:47:26
44,Face-To-Face inquiry assistance,4,3,3,3,Next time sana may heads-up sa requirements.,5/30/2025,1:48:36
45,Classroom Technical Assistance,4,4,4,4,"Positive interaction at Classroom Technical Assistance. If possible, provide status updates during busy periods.",5/30/2025,1:48:53
46,Online Inquiry Assistance,4,4,4,4,"Positive interaction at Online Inquiry Assistance. If possible, provide status updates during busy periods. A short FAQ or checklist at the counter would reduce confusion.",5/30/2025,1:49:18
47,Classroom Technical Assistance,5,5,5,5,,5/30/2025,1:49:35
48,Online Inquiry Assistance,5,5,5,5,needs improvement,5/30/2025,1:50:34
49,Classroom Technical Assistance,3,5,5,5,Explaining what will send through student’s emails so they won’t be confused,5/30/2025,1:54:20
50,Online Inquiry Assistance,4,4,4,4,"Okay naman, sana mas maikli ang pila.",5/30/2025,2:00:44
51,Face-To-Face inquiry assistance,5,5,4,4,Ang bilis at bait ng staff. Solid!,5/30/2025,2:00:52
52,Face-To-Face inquiry assistance,3,3,3,3,Nakakapila nang matagal. Puwede sana checklist.,5/30/2025,2:02:12
53,Online Inquiry Assistance,3,3,3,3,clear enough,5/30/2025,2:11:22
54,Face-To-Face inquiry assistance,5,5,5,5,Thank you for the quick and friendly help at Face-To-Face inquiry assistance. Everything was clear and efficient,5/30/2025,2:12:20
55,Classroom Technical Assistance,5,5,5,5,I appreciated how seamless Classroom Technical Assistance was. Instructions were easy to follow and I was in and out fast.,5/30/2025,2:14:38
56,Classroom Technical Assistance,3,3,3,3,Medyo mabagal. Sana clearer yung guide.,5/30/2025,2:14:52
57,Classroom Technical Assistance,4,4,4,4,Be good to student,5/30/2025,2:16:10
58,Online Inquiry Assistance,4,4,4,4,it was okay,5/30/2025,2:16:36
59,Face-To-Face inquiry assistance,4,4,4,4,kinda slow,5/30/2025,2:16:57
60,Face-To-Face inquiry assistance,5,5,5,5,Great experience with Face-To-Face inquiry assistance. The staff were courteous and the process was smooth from start to finish. Adding a quick self-service guide for common requests would help.,5/30/2025,2:18:34
61,Classroom Technical Assistance,4,4,4,4,Service at Classroom Technical Assistance was courteous. Consider simplifying the instructions to reduce back-and-forth.,5/30/2025,2:26:49
62,Classroom Technical Assistance,5,5,5,5,"Ayos na ayos, walang hassle.",5/30/2025,2:33:05
63,Online Inquiry Assistance,4,2,3,5,Service at Online Inquiry Assistance was courteous. Consider simplifying the instructions to reduce back-and-forth,5/30/2025,2:34:29
64,Classroom Technical Assistance,5,5,5,5,,5/30/2025,2:43:09
65,Online Inquiry Assistance,5,5,5,5,Great experience with Online Inquiry Assistance. The staff were courteous and the process was smooth from start to finish. A short FAQ or checklist at the counter would reduce confusion.,5/30/2025,2:43:19
66,Face-To-Face inquiry assistance,5,5,5,5,No,5/30/2025,2:44:30
67,Face-To-Face inquiry assistance,5,5,5,5,more updates please,5/30/2025,2:57:32
68,Classroom Technical Assistance,5,5,5,3,Thank you for the quick and friendly help at Classroom Technical Assistance. Everything was clear and efficient. Clear signage about required documents could speed things up.,5/30/2025,3:02:26
69,Face-To-Face inquiry assistance,5,5,5,5,helpful staff,5/30/2025,3:07:17
70,Online Inquiry Assistance,5,5,5,5,stay cleann,5/30/2025,3:34:44
71,Face-To-Face inquiry assistance,5,5,5,5,stay clean,5/30/2025,3:35:44
72,Online Inquiry Assistance,5,5,5,5,Ang bilis at bait ng staff. Solid!,5/30/2025,3:46:00
73,Face-To-Face inquiry assistance,5,5,5,5,,5/30/2025,3:47:40
74,Classroom Technical Assistance,5,5,5,5,"Sobrang okay, malinaw lahat. Kudos!",5/30/2025,4:03:45
75,Classroom Technical Assistance,3,3,3,3,Experience at Classroom Technical Assistance could improve with shorter queues and more detailed instructions. Extended hours during peak periods could reduce congestion.,5/30/2025,4:08:01
76,Classroom Technical Assistance,5,5,5,5,nome,5/30/2025,4:08:53
77,Classroom Technical Assistance,4,4,5,5,"Ayos na ayos, walang hassle",5/30/2025,4:25:08
78,Classroom Technical Assistance,5,5,5,5,Great experience with Classroom Technical Assistance. The staff were courteous and the process was smooth from start to finish.,5/30/2025,4:43:36
79,Online Inquiry Assistance,4,4,4,4,Nothing,5/30/2025,4:56:55
80,Online Inquiry Assistance,5,5,5,5,fast and easy,5/30/2025,4:58:36
81,Online Inquiry Assistance,4,4,4,4,kinda slow,5/30/2025,5:04:47
82,Face-To-Face inquiry assistance,4,4,4,4,,5/30/2025,5:05:06
83,Classroom Technical Assistance,1,1,1,1,,5/30/2025,5:35:33
84,Classroom Technical Assistance,4,4,4,4,Good overall experience with Classroom Technical Assistance. Shorter wait times would make it even better. Extended hours during peak periods could reduce congestion.,5/30/2025,5:44:14
85,Online Inquiry Assistance,4,4,4,4,"Maayos naman, pwedeng i-simplify yung instructions.",5/30/2025,5:44:28
86,Classroom Technical Assistance,4,4,4,4,S,5/30/2025,6:11:28
87,Online Inquiry Assistance,4,4,4,4,S,5/30/2025,6:11:37
88,Face-To-Face inquiry assistance,4,4,4,4,S,5/30/2025,6:12:05
89,Face-To-Face inquiry assistance,5,5,5,5,needs improvement,5/30/2025,6:21:13
90,Classroom Technical Assistance,5,5,5,5,,5/30/2025,6:25:28
91,Classroom Technical Assistance,5,5,5,5,confusing a bit,5/30/2025,6:27:13
92,Online Inquiry Assistance,5,5,5,5,helpful staff,5/30/2025,6:27:25
93,Face-To-Face inquiry assistance,5,5,5,5,Great experience with Face-To-Face inquiry assistance. The staff were courteous and the process was smooth from start to finish. Adding a quick self-service guide for common requests would help.,5/30/2025,6:27:36
94,Face-To-Face inquiry assistance,3,3,3,3,Next time sana may heads-up sa requirements,5/30/2025,6:34:35
95,Classroom Technical Assistance,4,4,4,4,,5/30/2025,6:40:51
96,Face-To-Face inquiry assistance,4,4,4,4,,5/30/2025,6:41:12
97,Online Inquiry Assistance,5,5,5,5,Ang bilis at bait ng staff. Solid,5/30/2025,6:46:03
98,Classroom Technical Assistance,3,3,3,3,good service,5/30/2025,6:47:51
99,Online Inquiry Assistance,3,3,3,3,,5/30/2025,6:48:01
100,Face-To-Face inquiry assistance,5,5,5,5,,5/30/2025,7:16:41
101,Face-To-Face inquiry assistance,5,5,5,5,wait time long,5/30/2025,7:25:15
